INFO 2025-10-13 02:42:20,099 autoreload Watching for file changes with StatReloader
DEBUG 2025-10-13 02:42:20,100 autoreload Waiting for apps ready_event.
DEBUG 2025-10-13 02:42:20,276 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-10-13 02:42:20,283 autoreload Watching dir D:\ElectroPluz-web-\ElectroPlus-Gateway\gateway_app\templates with glob **/*.
DEBUG 2025-10-13 02:42:20,283 autoreload Watching dir D:\ElectroPluz-web-\ElectroPlus-Gateway\storefront\templates with glob **/*.
DEBUG 2025-10-13 02:42:20,284 autoreload Watching dir D:\ElectroPluz-web-\ElectroPlus-Gateway\templates with glob **/*.
DEBUG 2025-10-13 02:42:20,284 autoreload Watching dir C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-10-13 02:42:20,336 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-10-13 02:42:20,678 autoreload Watching dir D:\ElectroPluz-web-\ElectroPlus-Gateway\locale with glob **/*.mo.
DEBUG 2025-10-13 02:42:20,678 autoreload Watching dir C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-10-13 02:42:20,679 autoreload Watching dir C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-10-13 02:42:20,679 autoreload Watching dir D:\ElectroPluz-web-\ElectroPlus-Gateway\gateway_app\locale with glob **/*.mo.
DEBUG 2025-10-13 02:42:20,680 autoreload Watching dir D:\ElectroPluz-web-\ElectroPlus-Gateway\storefront\locale with glob **/*.mo.
DEBUG 2025-10-13 02:42:20,687 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
